Calc_time (UTC),Bat_vol (V),Latitude (deg),Longitude (deg),Hm0 (m),Pdirnaut (deg),Tm01 (s),Hmax_up (m),Crest (m),Meandir (deg),Spread (deg),Peakper (s),Tmm10 (s),Tm02 (s),drift,dir,dist_from_start
2022.07.19 17:02:44,3.54,-58.6667252,-1.107514,0.119,341,11.5,0.175,0.103,338,47,10.6,13.4,8.7,0.0,0,0
2022.07.19 17:24:34,3.55,-58.6650047,-1.0953408,0.12,332,12.5,0.209,0.126,358,58,10.6,13.6,11.6,0.8,75,1
2022.07.19 17:46:25,3.55,-58.6627579,-1.0819516,0.15,333,10.8,0.242,0.12,342,49,10.6,14.3,7.3,0.9,72,2
2022.07.19 18:08:16,3.54,-58.6601486,-1.0685772,0.154,330,7.2,0.272,0.163,337,55,10.6,13.4,4.1,0.9,69,2
2022.07.19 18:30:06,3.53,-58.6571312,-1.0563617,0.158,324,10.9,0.239,0.118,325,41,10.6,12.5,9.2,0.8,65,3
2022.07.19 18:51:57,3.54,-58.6538048,-1.0450402,0.159,292,12.0,0.263,0.141,313,62,2.9,17.4,7.1,0.8,61,4
2022.07.19 19:13:48,3.54,-58.6505928,-1.0344326,0.249,350,14.4,0.552,0.372,347,75,2.9,20.5,7.8,0.8,60,5
2022.07.19 19:35:39,3.54,-58.6469879,-1.0239819,0.13,354,11.9,0.473,0.229,353,45,13.4,13.5,9.8,0.8,57,5
2022.07.19 19:57:29,3.54,-58.6434097,-1.0150152,0.116,305,11.7,0.189,0.098,309,54,10.6,12.9,11.3,0.7,53,6
2022.07.19 20:19:20,3.54,-58.6399307,-1.0074583,0.14,321,11.6,0.231,0.119,319,42,10.6,12.5,11.2,0.6,49,7
2022.07.19 20:41:11,3.54,-58.6350403,-0.9989602,0.148,311,11.0,0.215,0.111,320,34,10.6,11.8,10.6,0.8,42,7
2022.07.19 21:03:02,3.54,-58.6304054,-0.9933877,0.146,336,12.6,0.225,0.122,336,55,9.6,14.9,11.8,0.7,32,8
2022.07.19 21:24:52,3.54,-58.625946,-0.9888604,0.181,110,13.5,0.292,0.161,338,60,2.9,16.7,12.4,0.6,28,8
2022.07.19 21:46:43,3.54,-58.6216431,-0.9847538,0.17,311,10.6,0.264,0.132,317,33,9.6,11.4,10.3,0.6,26,9
2022.07.19 22:08:34,3.54,-58.6177292,-0.9813101,0.122,327,11.1,0.177,0.089,334,42,10.6,12.2,10.7,0.5,25,9
2022.07.19 22:30:24,3.54,-58.6145782,-0.9779664,0.167,322,11.4,0.274,0.177,320,42,10.6,12.3,11.0,0.4,29,9
2022.07.19 22:52:15,3.54,-58.6119118,-0.9742649,0.211,340,13.2,0.317,0.214,329,66,11.8,15.3,12.3,0.4,36,10
2022.07.19 23:14:06,3.54,-58.6093178,-0.970841,0.18,328,10.8,0.272,0.145,325,43,9.6,11.6,10.5,0.4,35,10
2022.07.19 23:35:57,3.54,-58.6065331,-0.9673758,0.173,312,12.0,0.335,0.127,318,55,9.6,13.9,10.8,0.4,33,11
2022.07.19 23:57:47,3.54,-58.6040459,-0.9643099,0.183,106,15.0,0.505,0.345,334,68,2.9,18.5,13.0,0.4,33,11
2022.07.20 00:19:38,3.54,-58.6017532,-0.961422,0.175,329,11.3,0.237,0.122,324,39,11.8,12.1,11.0,0.3,33,11
2022.07.20 00:41:29,3.54,-58.599865,-0.9586853,0.145,317,10.4,0.259,0.136,319,39,9.6,11.0,10.1,0.3,37,11
2022.07.20 01:03:19,3.54,-58.5983925,-0.9564362,0.183,314,11.2,0.278,0.158,329,40,9.6,11.9,10.8,0.2,39,12
2022.07.20 01:25:10,3.54,-58.5970573,-0.9535733,0.165,316,11.1,0.29,0.154,323,44,9.6,12.0,10.7,0.2,48,12
2022.07.20 01:47:01,3.53,-58.5959816,-0.9502048,0.164,316,11.3,0.305,0.175,313,40,9.6,12.4,10.9,0.2,59,12
2022.07.20 02:08:52,3.54,-58.5948143,-0.9463091,0.195,326,10.9,0.308,0.156,322,37,10.6,11.5,10.7,0.3,60,12
2022.07.20 02:30:42,3.54,-58.5935059,-0.9414944,0.153,315,11.3,0.209,0.115,322,54,9.6,12.8,10.8,0.3,62,13
2022.07.20 02:52:33,3.53,-58.5923958,-0.9372794,0.179,327,11.3,0.28,0.157,332,35,9.6,12.2,11.0,0.3,63,13
2022.07.20 03:14:24,3.54,-58.5916939,-0.9334012,0.2,314,10.8,0.268,0.137,318,32,9.6,11.6,10.5,0.3,71,13
2022.07.20 03:36:14,3.53,-58.5909386,-0.9290809,0.16,333,11.3,0.3,0.16,337,40,9.6,12.2,11.0,0.3,71,13
2022.07.20 03:58:05,3.54,-58.5902214,-0.9249762,0.154,340,11.1,0.211,0.135,336,38,10.6,11.8,10.8,0.3,71,14
2022.07.20 04:19:56,3.54,-58.5896835,-0.9199715,0.16,315,11.7,0.249,0.143,325,39,9.6,12.7,11.3,0.3,78,14
2022.07.20 04:41:47,3.54,-58.5887299,-0.9145401,0.169,313,11.6,0.219,0.122,308,42,10.6,12.7,11.1,0.4,71,14
2022.07.20 05:03:37,3.54,-58.587944,-0.9095057,0.171,345,11.5,0.214,0.115,340,40,10.6,12.6,11.1,0.3,73,14
2022.07.20 05:25:28,3.54,-58.5872879,-0.9044316,0.159,313,12.1,0.261,0.151,319,44,9.6,13.3,11.5,0.3,76,15
2022.07.20 05:47:19,3.54,-58.5869064,-0.8989336,0.171,342,11.2,0.273,0.145,327,43,10.6,12.1,10.8,0.3,82,15
2022.07.20 06:09:10,3.54,-58.5863953,-0.8919887,0.17,335,11.4,0.269,0.133,330,40,9.6,12.3,11.0,0.4,82,15
2022.07.20 06:31:00,3.54,-58.5858688,-0.8845651,0.176,332,11.8,0.24,0.13,325,42,10.6,12.8,11.3,0.5,82,16
2022.07.20 06:52:51,3.53,-58.5849648,-0.8766879,0.178,305,11.6,0.245,0.134,312,38,10.6,12.6,11.1,0.5,78,16
2022.07.20 07:14:42,3.55,-58.5839729,-0.8704129,0.197,317,11.1,0.28,0.143,312,38,10.6,11.9,10.7,0.4,73,17
2022.07.20 07:36:32,3.55,-58.5816383,-0.8622624,0.171,322,11.4,0.235,0.135,306,38,10.6,12.5,11.0,0.6,61,17
2022.07.20 07:58:23,3.55,-58.5793343,-0.8562066,0.2,306,11.8,0.365,0.226,310,35,9.6,13.0,11.1,0.5,54,17
2022.07.20 08:20:14,3.55,-58.5768623,-0.8505701,0.152,288,12.4,0.231,0.124,303,41,18.2,13.8,11.6,0.5,50,18
2022.07.20 08:42:05,3.54,-58.574482,-0.8457871,0.156,291,13.5,0.244,0.117,313,48,18.2,14.9,12.6,0.4,46,18
2022.07.20 09:03:55,3.54,-58.5719795,-0.8410064,0.151,310,12.8,0.249,0.119,315,42,18.2,14.2,12.2,0.4,45,19
2022.07.20 09:25:46,3.54,-58.5694008,-0.8366706,0.16,332,13.1,0.286,0.144,328,48,9.6,14.5,12.5,0.4,41,19
2022.07.20 09:47:37,3.54,-58.5666542,-0.8330075,0.204,303,13.2,0.246,0.141,315,40,18.2,14.4,12.6,0.4,35,19
2022.07.20 10:09:27,3.53,-58.5640717,-0.8298341,0.19,334,12.4,0.297,0.184,320,44,9.6,13.8,11.8,0.4,33,20
2022.07.20 10:31:18,3.53,-58.5616493,-0.8270154,0.231,298,12.7,0.317,0.17,318,42,18.2,14.0,12.2,0.3,31,20
2022.07.20 10:53:09,3.54,-58.5591888,-0.8241795,0.173,332,12.3,0.263,0.14,321,51,9.6,13.9,11.7,0.3,31,20
2022.07.20 11:15:00,3.54,-58.5568848,-0.8208562,0.26,286,13.4,0.373,0.191,307,40,15.4,14.5,12.8,0.3,37,21
2022.07.20 11:36:50,3.54,-58.5548096,-0.8173087,0.255,291,12.6,0.369,0.238,314,44,15.4,13.9,12.0,0.3,42,21
2022.07.20 11:58:41,3.54,-58.552536,-0.8135741,0.264,288,12.0,0.43,0.238,309,43,15.4,13.1,11.6,0.4,41,21
2022.07.20 12:20:32,3.54,-58.5500984,-0.8105523,0.279,297,11.9,0.403,0.212,314,41,15.4,12.8,11.5,0.3,33,22
2022.07.20 12:42:22,3.53,-58.5478134,-0.8084297,0.337,283,13.8,0.474,0.233,299,37,18.2,15.1,13.1,0.3,26,22
2022.07.20 13:04:13,3.54,-58.5455742,-0.806526,0.303,284,13.0,0.544,0.288,307,41,18.2,14.2,12.4,0.3,24,22
2022.07.20 13:26:04,3.54,-58.5434799,-0.8045224,0.392,279,13.5,0.55,0.267,297,36,18.2,14.7,12.8,0.3,27,22
2022.07.20 13:47:55,3.54,-58.5410042,-0.8022639,0.377,287,13.5,0.505,0.301,300,38,15.4,14.5,13.0,0.3,25,23
2022.07.20 14:09:45,3.54,-58.5385361,-0.8004542,0.356,291,13.6,0.528,0.267,305,35,15.4,14.8,13.0,0.3,21,23
2022.07.20 14:31:36,3.54,-58.5358772,-0.7991503,0.363,295,13.7,0.506,0.231,301,34,15.4,14.7,13.1,0.3,14,23
2022.07.20 14:53:27,3.54,-58.5332222,-0.7988604,0.422,278,15.3,0.537,0.278,288,34,18.2,16.2,14.7,0.3,3,23
2022.07.20 15:15:18,3.54,-58.5307274,-0.7988781,0.389,293,14.1,0.773,0.364,299,34,15.4,15.1,13.5,0.3,360,23
2022.07.20 15:37:08,3.54,-58.5288239,-0.7989249,0.496,286,16.0,0.657,0.335,290,27,18.2,16.8,15.5,0.2,359,24
2022.07.20 15:58:59,3.54,-58.5274506,-0.7988729,0.472,289,15.0,0.723,0.314,294,32,18.2,15.8,14.4,0.2,1,24
2022.07.20 16:20:50,3.54,-58.5262527,-0.7985805,0.575,286,16.1,0.826,0.438,290,24,18.2,16.8,15.6,0.1,7,24
2022.07.20 16:42:40,3.53,-58.5254326,-0.7987243,0.525,283,14.9,0.677,0.346,296,32,18.2,15.9,14.3,0.1,355,24
2022.07.20 17:04:31,3.54,-58.5248756,-0.7987535,0.513,292,15.8,0.845,0.467,295,28,18.2,16.7,15.2,0.1,358,24
2022.07.20 17:26:22,3.54,-58.5247421,-0.798483,0.687,294,16.3,0.865,0.507,295,23,18.2,16.9,15.9,0.0,47,24
2022.07.20 17:48:13,3.54,-58.5250931,-0.7979792,0.826,289,16.6,0.923,0.497,291,21,18.2,17.2,16.2,0.1,143,24
2022.07.20 18:10:03,3.54,-58.5255051,-0.7972539,0.622,278,15.8,0.783,0.445,285,27,18.2,16.5,15.3,0.1,137,24
2022.07.20 18:31:54,3.54,-58.5259399,-0.7967501,0.593,283,15.3,1.025,0.506,290,29,18.2,16.1,14.8,0.1,149,24
2022.07.20 18:53:45,3.53,-58.5264816,-0.7961426,0.802,277,15.2,1.011,0.529,284,27,15.4,15.6,14.9,0.1,150,24
2022.07.20 19:15:35,3.54,-58.5272179,-0.7952983,0.825,285,15.5,1.068,0.553,291,24,15.4,15.9,15.1,0.1,149,24
2022.07.20 19:37:26,3.53,-58.5278664,-0.7941308,0.767,289,16.1,1.152,0.588,290,25,18.2,16.7,15.7,0.1,137,24
2022.07.20 19:59:17,3.53,-58.5284462,-0.7925731,1.029,283,15.8,1.365,0.646,285,20,15.4,16.2,15.6,0.1,125,24
2022.07.20 20:21:08,3.53,-58.5290108,-0.7903844,1.124,287,16.3,1.766,0.858,293,17,18.2,16.7,16.1,0.2,116,24
2022.07.20 20:42:58,3.53,-58.5297203,-0.7880641,0.952,296,16.0,1.147,0.639,291,20,18.2,16.3,15.8,0.2,120,24
2022.07.20 21:04:49,3.54,-58.5303993,-0.7856499,1.11,287,15.5,1.859,0.884,291,18,15.4,15.8,15.3,0.2,118,24
2022.07.20 21:26:40,3.54,-58.53125,-0.783224,1.019,295,15.6,1.99,0.937,297,16,18.2,16.0,15.3,0.2,124,24
2022.07.20 21:48:30,3.54,-58.5323067,-0.7805483,1.071,293,15.1,1.45,0.755,295,20,15.4,15.4,14.8,0.2,127,24
2022.07.20 22:10:21,3.54,-58.5330238,-0.7782092,1.125,301,15.4,1.728,0.995,302,19,15.4,15.7,15.2,0.2,120,24
2022.07.20 22:32:12,3.53,-58.5335884,-0.7757705,1.104,302,16.1,1.357,0.757,305,21,18.2,16.6,15.8,0.2,114,24
2022.07.20 22:54:03,3.54,-58.534008,-0.7731539,1.24,295,15.0,1.516,0.784,299,19,15.4,15.4,14.8,0.2,107,24
2022.07.20 23:15:53,3.54,-58.5342407,-0.7707113,1.297,304,15.2,1.834,0.945,306,21,15.4,15.5,15.0,0.2,100,24
2022.07.20 23:37:44,3.54,-58.5343056,-0.7681105,1.285,302,15.2,1.444,0.83,301,20,15.4,15.5,15.0,0.2,93,25
2022.07.20 23:59:35,3.54,-58.5342026,-0.7653359,1.521,295,15.9,1.969,1.011,298,18,15.4,16.2,15.7,0.2,86,25
2022.07.21 00:21:26,3.54,-58.5339012,-0.7626183,1.277,301,15.4,1.647,0.89,301,21,15.4,15.7,15.1,0.2,78,25
2022.07.21 00:43:16,3.54,-58.5334702,-0.7603242,1.281,297,14.9,1.761,0.95,298,21,15.4,15.3,14.7,0.2,70,25
2022.07.21 01:05:07,3.54,-58.5328636,-0.7582929,1.51,290,15.3,2.109,1.088,294,22,15.4,15.6,15.1,0.1,60,25
2022.07.21 01:26:58,3.54,-58.5320206,-0.7568931,1.477,299,15.5,1.986,1.043,298,16,15.4,15.8,15.3,0.1,41,25
2022.07.21 01:48:48,3.54,-58.5309258,-0.7565382,1.574,297,15.3,2.376,1.178,297,17,15.4,15.6,15.2,0.1,10,25
2022.07.21 02:10:39,3.53,-58.5298386,-0.7567505,1.415,296,15.0,2.17,1.121,297,22,15.4,15.3,14.9,0.1,354,25
2022.07.21 02:32:30,3.53,-58.5290756,-0.7568257,1.61,289,15.1,1.919,0.977,291,20,15.4,15.3,15.0,0.1,357,25
2022.07.21 02:54:21,3.54,-58.5285301,-0.7565925,1.545,290,15.0,2.317,1.238,291,17,15.4,15.3,14.9,0.1,13,25
2022.07.21 03:16:11,3.54,-58.5280075,-0.7566218,1.11,283,14.6,2.057,1.032,287,24,15.4,15.0,14.3,0.1,358,26
2022.07.21 03:38:02,3.54,-58.5278473,-0.7564112,1.696,293,15.1,2.635,1.296,292,17,15.4,15.5,14.9,0.0,35,26
2022.07.21 03:59:53,3.54,-58.5277443,-0.7566222,2.127,284,14.7,2.698,1.319,285,17,15.4,14.9,14.6,0.0,313,26
2022.07.21 04:21:43,3.53,-58.5279732,-0.757156,1.692,268,14.6,2.898,1.456,272,20,15.4,14.9,14.4,0.0,231,25
2022.07.21 04:43:34,3.54,-58.5280075,-0.759136,1.196,275,14.0,2.738,1.453,280,23,15.4,14.3,13.8,0.1,268,25
2022.07.21 05:05:25,3.53,-58.5282898,-0.7610657,1.477,276,14.4,2.339,1.262,276,21,15.4,14.7,14.2,0.1,254,25
2022.07.21 05:27:16,3.54,-58.5287666,-0.7636749,1.601,274,14.1,2.293,1.131,276,24,15.4,14.5,13.8,0.2,251,25
2022.07.21 05:49:06,3.53,-58.5296249,-0.766649,1.797,299,14.2,2.581,1.399,302,22,15.4,14.5,14.1,0.2,241,25
2022.07.21 06:10:57,3.54,-58.5308876,-0.7688253,2.275,307,14.6,3.084,1.644,311,15,15.4,14.8,14.4,0.2,222,25
2022.07.21 06:32:48,3.54,-58.532341,-0.7706087,2.144,306,14.8,2.625,1.37,307,18,15.4,15.0,14.6,0.2,213,25
2022.07.21 06:54:38,3.54,-58.5344048,-0.7716297,1.561,312,14.3,3.052,1.537,314,19,15.4,14.6,14.0,0.3,195,24
2022.07.21 07:16:29,3.54,-58.5365105,-0.7721659,1.458,309,13.9,2.292,1.069,312,22,15.4,14.3,13.7,0.3,188,24
2022.07.21 07:38:20,3.53,-58.5384254,-0.7727763,1.825,315,13.9,2.593,1.388,315,19,15.4,14.2,13.7,0.2,189,24
2022.07.21 08:00:11,3.54,-58.5405769,-0.7733047,2.026,311,14.5,2.402,1.322,313,19,15.4,14.8,14.4,0.3,187,24
2022.07.21 08:22:01,3.54,-58.5427513,-0.7735791,2.098,317,14.2,2.716,1.397,318,17,15.4,14.5,14.0,0.3,184,24
2022.07.21 08:43:52,3.54,-58.5448074,-0.773199,1.994,315,14.5,3.135,1.49,316,18,15.4,14.8,14.3,0.2,174,24
2022.07.21 09:05:43,3.54,-58.5468483,-0.7728002,1.856,308,13.9,2.593,1.409,313,20,15.4,14.2,13.7,0.2,174,24
2022.07.21 09:27:34,3.54,-58.5490303,-0.7728164,1.602,307,13.7,2.68,1.344,315,22,15.4,14.0,13.5,0.3,180,23
2022.07.21 09:49:24,3.54,-58.5512009,-0.7725129,1.936,303,14.2,2.248,1.134,303,17,15.4,14.4,14.0,0.3,176,23
2022.07.21 10:11:15,3.54,-58.5531769,-0.77165,1.624,292,13.8,2.363,1.155,298,21,15.4,14.1,13.6,0.2,167,23
2022.07.21 10:33:06,3.54,-58.555275,-0.7704003,1.943,300,13.8,3.111,1.691,307,19,15.4,14.1,13.6,0.3,163,23
2022.07.21 10:54:56,3.54,-58.5576324,-0.7685752,1.598,317,13.7,2.433,1.35,320,22,15.4,14.1,13.5,0.3,158,23
2022.07.21 11:16:47,3.54,-58.5597687,-0.7665726,1.59,311,13.7,2.451,1.287,312,21,15.4,14.1,13.5,0.3,154,23
2022.07.21 11:38:38,3.53,-58.5620689,-0.7647935,1.764,309,13.9,2.91,1.505,310,20,15.4,14.2,13.7,0.3,158,23
2022.07.21 12:00:29,3.54,-58.5647507,-0.7635639,1.867,293,13.7,2.591,1.351,299,20,15.4,14.0,13.6,0.3,167,23
2022.07.21 12:22:19,3.54,-58.5675392,-0.7620071,2.012,311,13.9,2.653,1.308,318,18,15.4,14.1,13.8,0.3,164,23
2022.07.21 12:44:10,3.54,-58.5703621,-0.7587171,1.565,321,13.5,2.438,1.22,320,24,15.4,13.9,13.4,0.4,149,23
2022.07.21 13:06:01,3.54,-58.5730362,-0.7545109,1.636,317,13.6,2.336,1.168,318,22,15.4,13.9,13.5,0.4,141,23
2022.07.21 13:27:51,3.53,-58.5757523,-0.7494868,1.371,327,13.0,1.994,1.062,323,30,11.8,13.4,12.8,0.5,136,23
2022.07.21 13:49:42,3.52,-58.5784721,-0.7441141,1.607,268,13.8,2.537,1.239,274,23,15.4,14.1,13.6,0.5,134,23
2022.07.21 14:11:33,3.54,-58.5808563,-0.7391149,1.779,272,14.2,3.282,1.589,278,22,15.4,14.5,13.9,0.4,132,23
2022.07.21 14:33:24,3.54,-58.5829239,-0.7348454,1.434,298,13.5,2.063,1.032,304,27,13.4,13.9,13.3,0.4,133,24
2022.07.21 14:55:14,3.54,-58.5846863,-0.7313372,1.663,313,12.9,2.223,1.174,325,21,15.4,13.2,12.7,0.3,134,24
2022.07.21 15:17:05,3.54,-58.5866547,-0.7275494,1.794,303,13.2,3.055,1.484,311,23,15.4,13.5,13.1,0.3,135,24
2022.07.21 15:38:56,3.54,-58.5886841,-0.7239383,1.847,317,12.9,2.666,1.468,320,25,13.4,13.2,12.7,0.3,137,24
2022.07.21 16:00:46,3.54,-58.590744,-0.7205583,1.58,323,12.2,2.411,1.211,323,28,10.6,12.6,12.1,0.3,139,24
2022.07.21 16:22:37,3.54,-58.5929871,-0.7171426,1.726,334,12.9,2.771,1.537,317,28,11.8,13.2,12.7,0.3,142,24
2022.07.21 16:44:28,3.53,-58.5953484,-0.7131627,1.619,305,13.1,2.567,1.366,311,24,13.4,13.5,13.0,0.4,139,24
2022.07.21 17:06:19,3.54,-58.5975494,-0.7090652,1.482,319,12.5,2.887,1.51,302,31,11.8,12.9,12.3,0.4,136,24
2022.07.21 17:28:09,3.54,-58.5997696,-0.7042546,2.007,317,12.5,2.664,1.401,329,21,15.4,12.9,12.3,0.4,131,24
2022.07.21 17:50:00,3.54,-58.6020737,-0.6992401,2.063,304,12.8,3.092,1.564,323,23,15.4,13.1,12.7,0.4,131,25
2022.07.21 18:11:51,3.54,-58.604538,-0.694443,1.661,336,12.6,3.199,1.626,324,24,11.8,12.9,12.4,0.4,135,25
2022.07.21 18:33:42,3.54,-58.6065788,-0.6903314,1.809,310,13.1,2.352,1.289,319,24,15.4,13.5,12.9,0.4,134,25
2022.07.21 18:55:32,3.54,-58.6088257,-0.6858184,1.755,300,12.7,2.725,1.361,322,27,15.4,13.0,12.5,0.4,134,25
2022.07.21 19:17:23,3.54,-58.6111488,-0.6814634,1.787,311,12.6,2.866,1.508,321,24,15.4,12.9,12.4,0.4,136,25
2022.07.21 19:39:14,3.54,-58.6135178,-0.6772755,1.891,340,12.5,3.358,1.761,329,26,11.8,12.8,12.3,0.4,137,26
2022.07.21 20:01:04,3.54,-58.6161613,-0.6726988,2.096,305,12.6,3.503,1.817,317,22,15.4,13.0,12.4,0.4,138,26
2022.07.21 20:22:55,3.54,-58.618866,-0.6683824,2.09,297,12.6,2.832,1.366,315,26,15.4,13.0,12.4,0.4,140,26
2022.07.21 20:44:46,3.54,-58.6217613,-0.6642192,1.985,303,12.8,2.452,1.341,318,28,15.4,13.3,12.6,0.4,143,26
2022.07.21 21:06:37,3.54,-58.6243629,-0.6600718,1.608,337,11.9,2.776,1.347,316,30,10.6,12.3,11.8,0.4,140,26
2022.07.21 21:28:27,3.54,-58.6271248,-0.6557205,1.765,325,12.2,2.737,1.478,319,28,11.8,12.5,12.1,0.4,141,27
